,id,like_cnt,plylst_title,songs,tags,updt_date
0,0,71,00년대_기쁨,"[371829, 294435, 74403, 387621, 148992, 456167, 704666, 345004, 238154, 644076]","['신나는', '비트좋은', '댄스곡', '리드미컬한', '리드미컬한', '신나는', '댄스곡', '흥겨운', '댄스곡', '신나는']",2019-12-05 15:15:18.000
1,1,71,00년대_무표정,"[486938, 140011, 547940, 407082, 118973, 584779, 687196, 54408, 445084, 92254]","['슬픈발라드', '명품발라드', '신나는', '발라드명곡', '2000년대발라드', '2000년대발라드', '2000년대발라드', '싸이월드', '2000년대가요', '2000년대발라드']",2019-12-05 15:15:18.000
2,2,71,00년대_찡그림,"[222763, 629980, 610891, 257277, 397412, 549966, 165346, 425758, 210910, 113958]","['감성발라드', '절절한', '락발라드', '절절한', '감성', '감성자극', '락발라드', '절절한', '리드미컬', '발라드명곡']",2019-12-05 15:15:18.000
3,3,71,10년대_기쁨,"[380564, 455668, 103192, 495831, 158433, 515940, 638927, 259795, 30712, 348200]","['댄스곡', '소녀', '운동', '봄', 'EDM', '위로가필요할때', '댄스곡', '스웩', '신나는', '썸']",2019-12-05 15:15:18.000
4,4,71,10년대_무표정,"[29842, 137862, 94204, 275414, 20100728, 519530, 169984, 586653, 543820, 64052]","['비트좋은', '비오는날', '사랑고백', '감성', '남자보컬', '치유', '절절한', '이별', '감성', '달달']",2019-12-05 15:15:18.000
5,5,71,10년대_찡그림,"[107916, 554550, 403159, 44603, 473514, 698250, 518420, 509758, 524956, 165454]","['고막남친', '슬픈발라드', '발라드', '절절한', '네오소울', '락발라드', '힘나는', '힐링', '스트레스해소', '애틋한']",2019-12-05 15:15:18.000
6,6,71,80년대_기쁨,"[705102, 706790, 677665, 292590, 261312, 553144, 440205, 113966, 12844, 128012, 638385, 411561, 512375]","['추억의발라드', '복고', '봄', '복고', '맑은', '복고', '디스코', '옛날노래', '복고', '복고', '신나는', '추억의명곡', '추억의명곡']",2019-12-05 15:15:18.000
7,7,71,80년대_무표정,"[246871, 248514, 300336, 84907, 575557, 76372, 508, 120722, 2318, 478730]","['가을바람', '리드미컬한', '옛날노래', '추억의발라드', '추억의발라드', '복고', '추억의락', '추억의발라드', '추억', '슬픈발라드']",2019-12-05 15:15:18.000
8,8,71,80년대_찡그림,"[9736, 86426, 169771, 156647, 688434, 416042, 471233, 299180, 397116, 667925]","['명품발라드', '복고', '외로운', '복고', '추억의발라드', '락발라드', '나른한', '외로운', '절절한', '팝발라드']",2019-12-05 15:15:18.000
9,9,71,90년대_기쁨,"[95333, 564916, 145322, 66777, 153363, 77612, 664191, 310375, 486391, 679429]","['복고', '소녀감성', '스웩', '추억의명곡', '추억의명곡', '빠른비트', '여름', '추억의명곡', '추억의명곡', '추억의명곡']",2019-12-05 15:15:18.000
10,10,71,90년대_무표정,"[140253, 80591, 84285, 36457, 21527, 264162, 449767, 77059, 47604]","['명품발라드', '절절한', '달달', '팝발라드', '팝발라드', '90년대발라드', '애틋한', '90년대발라드', '팝발라드']",2019-12-05 15:15:18.000
11,11,71,90년대_찡그림,"[569905, 7792, 645103, 126055, 478065, 109679, 534049, 352313, 160289, 84748]","['절절한', '명품발라드', '댄스', '슬픈', '애틋한', '발라드감성', '발라드명곡', '추억', '추억회상', '슬픈']",2019-12-05 15:15:18.000
12,12,71,계절_가을,"[403189, 635676, 432191, 343088, 405737, 23381, 612516, 313424, 504679, 69900, 184433]","['가을향기', '가을감성', '쓸쓸한', '쓸쓸한', '가을바람', '가을감성', '가을발라드', '가을', '가을재즈', '가을밤', '가을감성']",2019-12-05 15:15:18.000
13,13,71,계절_겨울,"[586987, 387859, 358186, 326204, 501713, 521739, 482846, 370470, 435683, 225631]","['겨울발라드', '크리스마스캐롤', '크리스마스노래', '메리크리스마스', '겨울발라드', '겨울감성', '겨울밤', '겨울발라드', '겨울발라드', '겨울왕국']",2019-12-05 15:15:18.000
14,14,71,계절_봄,"[132994, 650494, 581789, 250, 287332, 154929, 636592, 52982, 133143, 484234, 510468, 618208]","['봄나들이', '봄', '봄', '봄바람', '봄', '봄바람', '봄', '봄꽃', '봄', '봄', '봄햇살', '봄꽃']",2019-12-05 15:15:18.000
15,15,71,계절_여름,"[55540, 277894, 143548, 260612, 441977, 649383, 471281, 278145, 277679, 462530, 263857]","['여름밤', '여름향기', '여름밤', '여름방학', '여름노래', '장마', '여름송', '늦여름', '드라이브', '여름노래', '여름휴가']",2019-12-05 15:15:18.000
16,16,71,불금_삼겹살,"[44053, 135756, 277034, 568295, 87752, 227579, 158554, 672232, 374617, 475599]","['파티', '운동', '신나는', '기분전환', '스웩', '스웩', '스웩', '젊음', '리드미컬한', '소녀감성']",2019-12-05 15:15:18.000
17,17,71,불금_족발보쌈,"[641607, 378946, 55525, 15591, 122652, 459963, 340245, 392195, 192275, 208396]","['복고', '레트로', '상쾌한', '레트로', '레트로', '시크', '레트로', '시티팝', '레트로', '복고']",2019-12-05 15:15:18.000
18,18,71,불금_치킨,"[26797, 138486, 616077, 188893, 243852, 322348, 390629, 553171, 525152, 113938]","['그루비', '비트좋은', '락메탈', '귀여운', '흥겨운', '흥겨운', '재밌는', '새벽감성', '감성힙합', 'EDM']",2019-12-05 15:15:18.000
19,19,71,불금_피자,"[325687, 491279, 132730, 161222, 112488, 213438, 475555, 44976, 21125, 704752]","['복고', '10대', '펑키', '재즈', '느긋한', '뮤지컬', '댄스', '기분전환', '달달', '신나는']",2019-12-05 15:15:18.000
20,20,71,스트레스해소_노래,"[624111, 1236, 368131, 406069, 63993, 56393, 90465, 461374, 113958, 243099]","['힘나는', '쓸쓸한', '재밌는', '가창력종결자', '고음폭발', '명품발라드', '락발라드', '고음폭발', '명품발라드', '고음폭발']",2019-12-05 15:15:18.000
21,21,71,스트레스해소_숙면,"[144663, 172722, 618004, 633840, 426402, 413837, 578240, 216696, 10961, 323759, 473570, 461341]","['잠못이루는밤', '애틋한', '쓸쓸한', '추억회상', '꿈', '후회', '가을밤', '슬픈감성', '비오는날듣기좋은노래', '힐링', '애틋한', '슬픈감성']",2019-12-05 15:15:18.000
22,22,71,스트레스해소_여행,"[62027, 346619, 363332, 10045, 236393, 576262, 443349, 185148, 494037, 345004]","['여행', '여행느낌', '소풍', '질주', '드라이브', '드라이브', '여행느낌', '신비한', '질주', '여행']",2019-12-05 15:15:18.000
23,23,71,점심_상사,"[430214, 116250, 177828, 539265, 581540, 467147, 174989, 198406, 645592, 69350]","['나른한', '추억회상', '기분전환', '치유', '로맨스', '웅장한', '트로트', '세미트로트', '쓸쓸한', '댄스곡']",2019-12-05 15:15:18.000
24,24,71,점심_애인,"[311, 493863, 341311, 286116, 412701, 363709, 247529, 334539, 503730, 344931]","['달달', '달달', '로맨스', '데이트', '고막남친', '기분전환', '신나는', '고막남친', '이별', '달달']",2019-12-05 15:15:18.000
25,25,71,점심_친구,"[140586, 650494, 60429, 362966, 24553, 89620, 321059, 330540, 346692, 89375]","['스웩', '외로운', '보고싶다', '그리운', '팝', '댄스곡', '따뜻한', '친구', '자존감', '친구']",2019-12-05 15:15:18.000
